你的性别是（必填）,你的出生年月是（必填）,你的星座是（必填）,家乡（省）,你的家乡是（省市）,你现在在墨尔本(澳大利亚境内)还是在国内？（必填）,你在CSSA哪个部门？（必填）,你是本科还是研究生？（必填）,你的专业是（必填）,你目前的感情状态是 (✿◡‿◡)？（必填）,你目前想要的状态是(*/ω＼*)（必填）
女,June,双子座,浙江省,浙江省杭州市,我在国内,组织部,本科,Data science,布谷布谷,和TA9999
女,April,金牛座,浙江省,浙江省嘉兴市,我在国内,主席团,本科,"Commerce, economics and management",布谷布谷,和TA9999
女,November,射手座,澳门,澳门,我在墨尔本,外联部,本科,"Agriculture, Food Science",布谷布谷,和TA9999
女,March,白羊座,浙江省,浙江省温州市,我在国内,外联部,本科,Political and social studies,孤寡孤寡,脱离孤寡队伍
男,November,天蝎座,上海市,上海市,我在墨尔本,组织部,本科,Data science,孤寡孤寡,保持孤寡
女,April,白羊座,上海市,上海市,我在墨尔本,外联部,本科,Computing and Information,孤寡孤寡,保持孤寡
女,February,水瓶座,新疆省,新疆维吾尔自治区乌鲁木齐市,我在墨尔本,主席团,研究生,Computing and Information,布谷布谷,和TA9999
女,July,巨蟹座,河北省,河北省石家庄市,我在国内,人力资源部,本科,"Commerce, economics and management",孤寡孤寡,脱离孤寡队伍
男,July,巨蟹座,广东省,广东省深圳市,我在国内,组织部,本科,"Commerce, economics and management",布谷布谷,和TA9999
男,March,白羊座,广东省,广东省广州市,我在墨尔本,人力资源部,本科,"Commerce, economics and management",有点暧昧的小关系,脱离孤寡队伍
男,December,射手座,上海市,上海市,我在国内,外联部,本科,"Accounting, Finance and Actuarial",孤寡孤寡,脱离孤寡队伍
男,August,狮子座,湖北省,湖北省襄阳市,我在国内,外联部,本科,"Medicine, dentistry, health and welfare",孤寡孤寡,保持孤寡
男,September,天秤座,上海市,上海市,我在墨尔本,信息部,本科,Computing and Information,孤寡孤寡,脱离孤寡队伍
女,December,摩羯座,广东省,广东省广州市,我在国内,信息部,本科,Data science,布谷布谷,和TA9999
女,May,双子座,上海市,上海市,我在墨尔本,信息部,本科,Computing and Information,孤寡孤寡,脱离孤寡队伍
